id,slug,name,category,tagline,tags,logo_url,logo_path,neighborhood,address,city,country,lat,lng,hours_raw,url
al-bustan-palace,al-bustan-palace,Al Bustan Palace,Hotels,Luxury beachfront resort with palace-like grandeur.,5-Star;Luxury;Beachfront,,,Ghala,Way 3935,Muscat,Oman,23.633817,58.438365,Daily 10:00-22:00,https://www.ritzcarlton.com/en/hotels/mctaq-al-bustan-palace
the-chedi-muscat,the-chedi-muscat,The Chedi Muscat,Hotels,Minimalist luxury on a private beachfront.,5-Star;Luxury;Spa,,,Madinat Qaboos,Al Kharjiyah St,Muscat,Oman,23.53445,58.389982,Daily 10:00-22:00,https://www.ghmhotels.com/en/muscat/
kargeen-cafe,kargeen-cafe,Kargeen Cafe,Restaurants,Garden-style Omani & Arabic cuisine.,Family Friendly;Outdoor Seating;Traditional,,,Qantab,Sultan Qaboos St,Muscat,Oman,23.630243,58.584424,Sun-Thu 08:00-17:00,https://kargeencaffe.com/
oman-avenues-mall,oman-avenues-mall,Oman Avenues Mall,Malls,Large shopping mall with international brands & dining.,Parking;Family Friendly;Cinema,,,Bausher,Al Seeb St,Muscat,Oman,23.64332,58.36208,Daily 08:00-23:00,https://www.omanavenuesmall.com/
royal-opera-house-muscat,royal-opera-house-muscat,Royal Opera House Muscat,Attractions,World-class opera house & cultural venue.,Performing Arts;Tours;Landmark,,,Ruwi,Al Mouj Blvd,Muscat,Oman,23.568902,58.4289,Daily 08:00-23:00,https://rohmuscat.org.om/
sultan-qaboos-grand-mosque,sultan-qaboos-grand-mosque,Sultan Qaboos Grand Mosque,Attractions,Iconic mosque with stunning architecture and gardens.,Landmark;Tours,,,North Ghubrah,Way 3935,Muscat,Oman,23.58319,58.474873,Sat-Thu 09:00-21:00; Fri 16:00-22:00,https://www.sultanqaboosgrandmosque.com/
bait-al-zubair-museum,bait-al-zubair-museum,Bait Al Zubair Museum,Museums,Private museum showcasing Omani heritage.,Heritage;Gallery;Family Friendly,,,Al Hail,Al Maha St,Muscat,Oman,23.632162,58.531593,Sun-Thu 08:00-17:00,https://www.baitalzubair.com/
qurum-natural-park,qurum-natural-park,Qurum Natural Park,Parks,"Lakes, gardens, and walking paths in the heart of Qurum.",Family Friendly;Playground;Picnic,,,Madinat Al Sultan Qaboos,Way 2620,Muscat,Oman,23.610829,58.585463,,
al-mouj-marina,al-mouj-marina,Al Mouj Marina,Attractions,"Marina promenade with dining, sailing, and leisure.",Waterfront;Family Friendly;Dining,,,Bausher,Way 2620,Muscat,Oman,23.649744,58.637275,Sun-Thu 08:00-17:00,https://www.almouj.com/en/marina
shangri-la-barr-al-jissah,shangri-la-barr-al-jissah,Shangri-La Barr Al Jissah,Hotels,Clifftop resort with private beaches and family facilities.,5-Star;Resort;Beachfront;Family Friendly,,,Shatti Al Qurum,Al Seeb St,Muscat,Oman,23.552772,58.473687,Box Office: Sun-Thu 10:00-19:00,https://www.shangri-la.com/muscat/barraljissahresort/
souq-bite-1,souq-bite-1,Souq Bite 1,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Shatti Al Qurum,Al Kharjiyah St,Muscat,Oman,23.60478,58.438339,Sun-Thu 08:00-17:00,
souq-bite-2,souq-bite-2,Souq Bite 2,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Seeb,Al Maha St,Muscat,Oman,23.625846,58.629713,Daily 08:00-23:00,
souq-bite-3,souq-bite-3,Souq Bite 3,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Al Mouj,Al Sarooj St,Muscat,Oman,23.642706,58.488373,,
souq-bite-4,souq-bite-4,Souq Bite 4,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Al Khuwair,Al Araimi Blvd,Muscat,Oman,23.621761,58.486602,Box Office: Sun-Thu 10:00-19:00,
souq-bite-5,souq-bite-5,Souq Bite 5,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Old Muscat,Street 1,Muscat,Oman,23.549548,58.598396,Visitor Hours: Sat-Thu 08:00-11:00,
souq-bite-6,souq-bite-6,Souq Bite 6,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Shatti Al Qurum,Al Mouj Blvd,Muscat,Oman,23.58068,58.679144,Daily 10:00-22:00,
souq-bite-7,souq-bite-7,Souq Bite 7,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Qantab,Dolphin St,Muscat,Oman,23.63581,58.635553,Daily 10:00-22:00,
souq-bite-8,souq-bite-8,Souq Bite 8,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Ghala,Al Bahri Rd,Muscat,Oman,23.613497,58.483126,Visitor Hours: Sat-Thu 08:00-11:00,
souq-bite-9,souq-bite-9,Souq Bite 9,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Old Muscat,Commercial Rd,Muscat,Oman,23.665951,58.63545,,
souq-bite-10,souq-bite-10,Souq Bite 10,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Madinat Qaboos,Al Maha St,Muscat,Oman,23.545617,58.499125,Sun-Thu 08:00-17:00,
souq-bite-11,souq-bite-11,Souq Bite 11,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Qurum,Al Maha St,Muscat,Oman,23.601075,58.394051,Box Office: Sun-Thu 10:00-19:00,
souq-bite-12,souq-bite-12,Souq Bite 12,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Ghubrah,Commercial Rd,Muscat,Oman,23.551397,58.604003,Visitor Hours: Sat-Thu 08:00-11:00,
souq-bite-13,souq-bite-13,Souq Bite 13,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Qantab,Sultan Qaboos St,Muscat,Oman,23.598405,58.395798,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
souq-bite-14,souq-bite-14,Souq Bite 14,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Ghubrah,Al Sarooj St,Muscat,Oman,23.563722,58.541554,,
souq-bite-15,souq-bite-15,Souq Bite 15,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Madinat Al Sultan Qaboos,Dolphin St,Muscat,Oman,23.666918,58.530466,Daily 10:00-22:00,
souq-bite-16,souq-bite-16,Souq Bite 16,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Mutrah,Dolphin St,Muscat,Oman,23.567108,58.639179,Sun-Thu 08:00-17:00,
souq-bite-17,souq-bite-17,Souq Bite 17,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Al Khuwair,Mutrah Corniche,Muscat,Oman,23.585859,58.57494,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
souq-bite-18,souq-bite-18,Souq Bite 18,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Old Muscat,Commercial Rd,Muscat,Oman,23.546941,58.431903,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
souq-bite-19,souq-bite-19,Souq Bite 19,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Qurum,Al Sarooj St,Muscat,Oman,23.531007,58.586509,,
souq-bite-20,souq-bite-20,Souq Bite 20,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Bausher,Al Kharjiyah St,Muscat,Oman,23.650349,58.382674,Daily 10:00-22:00,
palm-grill-1,palm-grill-1,Palm Grill 1,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Shatti Al Qurum,Dolphin St,Muscat,Oman,23.605493,58.591473,Visitor Hours: Sat-Thu 08:00-11:00,
palm-grill-2,palm-grill-2,Palm Grill 2,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Wattayah,Dolphin St,Muscat,Oman,23.639847,58.618399,Daily 10:00-22:00,
palm-grill-3,palm-grill-3,Palm Grill 3,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Madinat Qaboos,Way 3935,Muscat,Oman,23.579602,58.491553,Daily 08:00-23:00,
palm-grill-4,palm-grill-4,Palm Grill 4,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Al Mouj,Way 3935,Muscat,Oman,23.586367,58.468577,Daily 08:00-23:00,
palm-grill-5,palm-grill-5,Palm Grill 5,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Madinat Qaboos,Al Sarooj St,Muscat,Oman,23.556629,58.503556,Sun-Thu 08:00-17:00,
palm-grill-6,palm-grill-6,Palm Grill 6,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Ruwi,Al Maha St,Muscat,Oman,23.564973,58.655445,Sun-Thu 08:00-17:00,
palm-grill-7,palm-grill-7,Palm Grill 7,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Wadi Kabir,Way 3935,Muscat,Oman,23.6213,58.532988,,
palm-grill-8,palm-grill-8,Palm Grill 8,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Madinat Al Sultan Qaboos,Al Sarooj St,Muscat,Oman,23.586898,58.514035,Daily 08:00-23:00,
palm-grill-9,palm-grill-9,Palm Grill 9,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Seeb,18th November St,Muscat,Oman,23.583056,58.675299,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
palm-grill-10,palm-grill-10,Palm Grill 10,Restaurants,Casual dining with local and international dishes.,Family Friendly;Casual;Dine-In,,,Old Muscat,Way 2620,Muscat,Oman,23.627523,58.593762,Daily 08:00-23:00,
khareef-coffee-1,khareef-coffee-1,Khareef Coffee 1,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Wadi Kabir,Dolphin St,Muscat,Oman,23.556586,58.429664,,
khareef-coffee-2,khareef-coffee-2,Khareef Coffee 2,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Wattayah,18th November St,Muscat,Oman,23.538003,58.546937,Visitor Hours: Sat-Thu 08:00-11:00,
khareef-coffee-3,khareef-coffee-3,Khareef Coffee 3,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Qantab,Al Bahri Rd,Muscat,Oman,23.664509,58.385636,Daily 10:00-22:00,
khareef-coffee-4,khareef-coffee-4,Khareef Coffee 4,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Madinat Al Sultan Qaboos,Al Kharjiyah St,Muscat,Oman,23.586529,58.661311,Visitor Hours: Sat-Thu 08:00-11:00,
khareef-coffee-5,khareef-coffee-5,Khareef Coffee 5,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Bausher,18th November St,Muscat,Oman,23.588691,58.546775,Visitor Hours: Sat-Thu 08:00-11:00,
khareef-coffee-6,khareef-coffee-6,Khareef Coffee 6,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,North Ghubrah,Al Maha St,Muscat,Oman,23.623762,58.460539,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
khareef-coffee-7,khareef-coffee-7,Khareef Coffee 7,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Seeb,Street 1,Muscat,Oman,23.594011,58.657286,,
khareef-coffee-8,khareef-coffee-8,Khareef Coffee 8,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Qurum,Al Seeb St,Muscat,Oman,23.540257,58.428209,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
khareef-coffee-9,khareef-coffee-9,Khareef Coffee 9,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Mutrah,Service Rd,Muscat,Oman,23.653098,58.478249,Daily 10:00-22:00,
khareef-coffee-10,khareef-coffee-10,Khareef Coffee 10,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Old Muscat,Way 2620,Muscat,Oman,23.623501,58.537473,Box Office: Sun-Thu 10:00-19:00,
khareef-coffee-11,khareef-coffee-11,Khareef Coffee 11,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Madinat Qaboos,Street 1,Muscat,Oman,23.54616,58.394252,Visitor Hours: Sat-Thu 08:00-11:00,
khareef-coffee-12,khareef-coffee-12,Khareef Coffee 12,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Mutrah,Al Maha St,Muscat,Oman,23.614676,58.589636,Daily 10:00-22:00,
khareef-coffee-13,khareef-coffee-13,Khareef Coffee 13,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Ghala,Al Maha St,Muscat,Oman,23.565157,58.650611,,
khareef-coffee-14,khareef-coffee-14,Khareef Coffee 14,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Madinat Al Sultan Qaboos,Al Mouj Blvd,Muscat,Oman,23.536172,58.466738,Daily 10:00-22:00,
khareef-coffee-15,khareef-coffee-15,Khareef Coffee 15,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Ghala,Al Maha St,Muscat,Oman,23.633772,58.536538,Sun-Thu 08:00-17:00,
date-cardamom-1,date-cardamom-1,Date & Cardamom 1,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Wadi Kabir,Sultan Qaboos St,Muscat,Oman,23.540534,58.642594,Daily 10:00-22:00,
date-cardamom-2,date-cardamom-2,Date & Cardamom 2,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Wadi Kabir,18th November St,Muscat,Oman,23.611551,58.40739,Daily 10:00-22:00,
date-cardamom-3,date-cardamom-3,Date & Cardamom 3,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Al Mouj,Way 2620,Muscat,Oman,23.655857,58.614759,Daily 08:00-23:00,
date-cardamom-4,date-cardamom-4,Date & Cardamom 4,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Al Mouj,Service Rd,Muscat,Oman,23.625489,58.573419,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
date-cardamom-5,date-cardamom-5,Date & Cardamom 5,Cafes,Specialty coffee and light bites.,Coffee;Pastries;Work-Friendly,,,Wadi Kabir,Al Mouj Blvd,Muscat,Oman,23.659607,58.435756,Daily 10:00-22:00,
muscat-stay-1,muscat-stay-1,Muscat Stay 1,Hotels,Modern hotel with pool and fitness center.,Business;Pool;Breakfast,,,Ruwi,Al Mouj Blvd,Muscat,Oman,23.55511,58.655836,Daily 08:00-23:00,
muscat-stay-2,muscat-stay-2,Muscat Stay 2,Hotels,Modern hotel with pool and fitness center.,Business;Pool;Breakfast,,,Al Azaiba,Al Sarooj St,Muscat,Oman,23.552288,58.584409,Sun-Thu 08:00-17:00,
muscat-stay-3,muscat-stay-3,Muscat Stay 3,Hotels,Modern hotel with pool and fitness center.,Business;Pool;Breakfast,,,Al Mouj,Dolphin St,Muscat,Oman,23.55794,58.653905,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
muscat-stay-4,muscat-stay-4,Muscat Stay 4,Hotels,Modern hotel with pool and fitness center.,Business;Pool;Breakfast,,,Ghubrah,Al Sarooj St,Muscat,Oman,23.533313,58.421802,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
muscat-stay-5,muscat-stay-5,Muscat Stay 5,Hotels,Modern hotel with pool and fitness center.,Business;Pool;Breakfast,,,Shatti Al Qurum,Al Kharjiyah St,Muscat,Oman,23.57916,58.52301,Box Office: Sun-Thu 10:00-19:00,
muscat-stay-6,muscat-stay-6,Muscat Stay 6,Hotels,Modern hotel with pool and fitness center.,Business;Pool;Breakfast,,,Wadi Kabir,Al Araimi Blvd,Muscat,Oman,23.546148,58.670528,Daily 10:00-22:00,
muscat-stay-7,muscat-stay-7,Muscat Stay 7,Hotels,Modern hotel with pool and fitness center.,Business;Pool;Breakfast,,,Wattayah,Al Maha St,Muscat,Oman,23.545176,58.49906,Box Office: Sun-Thu 10:00-19:00,
muscat-stay-8,muscat-stay-8,Muscat Stay 8,Hotels,Modern hotel with pool and fitness center.,Business;Pool;Breakfast,,,North Ghubrah,Al Mouj Blvd,Muscat,Oman,23.583927,58.544508,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
muscat-stay-9,muscat-stay-9,Muscat Stay 9,Hotels,Modern hotel with pool and fitness center.,Business;Pool;Breakfast,,,Al Mouj,Al Mouj Blvd,Muscat,Oman,23.602789,58.618083,Box Office: Sun-Thu 10:00-19:00,
muscat-stay-10,muscat-stay-10,Muscat Stay 10,Hotels,Modern hotel with pool and fitness center.,Business;Pool;Breakfast,,,Al Khuwair,Service Rd,Muscat,Oman,23.539796,58.572556,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
heritage-fort-1,heritage-fort-1,Heritage Fort 1,Attractions,Historic site with guided tours available.,Landmark;Guided Tours;Photography,,,Al Hail,Al Araimi Blvd,Muscat,Oman,23.630766,58.456103,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
heritage-fort-2,heritage-fort-2,Heritage Fort 2,Attractions,Historic site with guided tours available.,Landmark;Guided Tours;Photography,,,Al Azaiba,Al Araimi Blvd,Muscat,Oman,23.627609,58.537412,Daily 10:00-22:00,
heritage-fort-3,heritage-fort-3,Heritage Fort 3,Attractions,Historic site with guided tours available.,Landmark;Guided Tours;Photography,,,Al Azaiba,Qurum Park Rd,Muscat,Oman,23.616172,58.456304,Visitor Hours: Sat-Thu 08:00-11:00,
heritage-fort-4,heritage-fort-4,Heritage Fort 4,Attractions,Historic site with guided tours available.,Landmark;Guided Tours;Photography,,,Qurum,Way 2620,Muscat,Oman,23.559426,58.611443,Visitor Hours: Sat-Thu 08:00-11:00,
heritage-fort-5,heritage-fort-5,Heritage Fort 5,Attractions,Historic site with guided tours available.,Landmark;Guided Tours;Photography,,,Ghala,Al Araimi Blvd,Muscat,Oman,23.59185,58.576201,Visitor Hours: Sat-Thu 08:00-11:00,
heritage-fort-6,heritage-fort-6,Heritage Fort 6,Attractions,Historic site with guided tours available.,Landmark;Guided Tours;Photography,,,Hamriya,Al Bahri Rd,Muscat,Oman,23.56973,58.572433,Visitor Hours: Sat-Thu 08:00-11:00,
heritage-fort-7,heritage-fort-7,Heritage Fort 7,Attractions,Historic site with guided tours available.,Landmark;Guided Tours;Photography,,,North Ghubrah,Al Kharjiyah St,Muscat,Oman,23.624191,58.431885,Daily 10:00-22:00,
seeb-center-1,seeb-center-1,Seeb Center 1,Shopping,Retail complex with fashion and lifestyle stores.,Retail;Food Court;Parking,,,Mutrah,Sultan Qaboos St,Muscat,Oman,23.564278,58.512044,Daily 08:00-23:00,
seeb-center-2,seeb-center-2,Seeb Center 2,Shopping,Retail complex with fashion and lifestyle stores.,Retail;Food Court;Parking,,,Madinat Al Sultan Qaboos,Al Seeb St,Muscat,Oman,23.654059,58.544215,Box Office: Sun-Thu 10:00-19:00,
seeb-center-3,seeb-center-3,Seeb Center 3,Shopping,Retail complex with fashion and lifestyle stores.,Retail;Food Court;Parking,,,Seeb,Dolphin St,Muscat,Oman,23.564158,58.569939,,
seeb-center-4,seeb-center-4,Seeb Center 4,Shopping,Retail complex with fashion and lifestyle stores.,Retail;Food Court;Parking,,,Madinat Qaboos,Al Mouj Blvd,Muscat,Oman,23.554624,58.666549,Visitor Hours: Sat-Thu 08:00-11:00,
seeb-center-5,seeb-center-5,Seeb Center 5,Shopping,Retail complex with fashion and lifestyle stores.,Retail;Food Court;Parking,,,Old Muscat,18th November St,Muscat,Oman,23.658446,58.398835,Daily 10:00-22:00,
seeb-center-6,seeb-center-6,Seeb Center 6,Shopping,Retail complex with fashion and lifestyle stores.,Retail;Food Court;Parking,,,Old Muscat,Commercial Rd,Muscat,Oman,23.663006,58.645256,Visitor Hours: Sat-Thu 08:00-11:00,
seeb-center-7,seeb-center-7,Seeb Center 7,Shopping,Retail complex with fashion and lifestyle stores.,Retail;Food Court;Parking,,,Qantab,Al Mouj Blvd,Muscat,Oman,23.655609,58.59797,Sun-Thu 08:00-17:00,
lotus-spa-1,lotus-spa-1,Lotus Spa 1,Health & Beauty,Day spa with massages and skincare treatments.,Spa;Wellness;Relaxation,,,Old Muscat,Al Maha St,Muscat,Oman,23.647581,58.44874,Daily 08:00-23:00,
lotus-spa-2,lotus-spa-2,Lotus Spa 2,Health & Beauty,Day spa with massages and skincare treatments.,Spa;Wellness;Relaxation,,,Qantab,Dolphin St,Muscat,Oman,23.568444,58.384795,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
lotus-spa-3,lotus-spa-3,Lotus Spa 3,Health & Beauty,Day spa with massages and skincare treatments.,Spa;Wellness;Relaxation,,,Bausher,Al Maha St,Muscat,Oman,23.574759,58.532849,Daily 10:00-22:00,
lotus-spa-4,lotus-spa-4,Lotus Spa 4,Health & Beauty,Day spa with massages and skincare treatments.,Spa;Wellness;Relaxation,,,Mutrah,Al Sarooj St,Muscat,Oman,23.627153,58.586054,,
lotus-spa-5,lotus-spa-5,Lotus Spa 5,Health & Beauty,Day spa with massages and skincare treatments.,Spa;Wellness;Relaxation,,,Al Azaiba,Al Mouj Blvd,Muscat,Oman,23.605966,58.493048,Daily 10:00-22:00,
lotus-spa-6,lotus-spa-6,Lotus Spa 6,Health & Beauty,Day spa with massages and skincare treatments.,Spa;Wellness;Relaxation,,,Al Azaiba,Qurum Park Rd,Muscat,Oman,23.649942,58.60499,Sun-Thu 08:00-17:00,
lotus-spa-7,lotus-spa-7,Lotus Spa 7,Health & Beauty,Day spa with massages and skincare treatments.,Spa;Wellness;Relaxation,,,Hamriya,Sultan Qaboos St,Muscat,Oman,23.571806,58.484796,Daily 08:00-23:00,
knowledge-hub-1,knowledge-hub-1,Knowledge Hub 1,Education,Training center offering short professional courses.,Workshops;Training;Certification,,,Al Azaiba,Al Sarooj St,Muscat,Oman,23.560719,58.499468,,
knowledge-hub-2,knowledge-hub-2,Knowledge Hub 2,Education,Training center offering short professional courses.,Workshops;Training;Certification,,,Seeb,Al Araimi Blvd,Muscat,Oman,23.631385,58.628962,Daily 10:00-22:00,
knowledge-hub-3,knowledge-hub-3,Knowledge Hub 3,Education,Training center offering short professional courses.,Workshops;Training;Certification,,,Al Hail,Sultan Qaboos St,Muscat,Oman,23.612865,58.57216,,
knowledge-hub-4,knowledge-hub-4,Knowledge Hub 4,Education,Training center offering short professional courses.,Workshops;Training;Certification,,,Ghala,Al Mouj Blvd,Muscat,Oman,23.651359,58.418153,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
knowledge-hub-5,knowledge-hub-5,Knowledge Hub 5,Education,Training center offering short professional courses.,Workshops;Training;Certification,,,Seeb,Al Araimi Blvd,Muscat,Oman,23.593658,58.468,Sun-Thu 08:00-17:00,
gulf-maritime-museum-1,gulf-maritime-museum-1,Gulf Maritime Museum 1,Museums,Curated exhibits highlighting regional history.,Exhibits;Gallery;Education,,,Shatti Al Qurum,Al Mouj Blvd,Muscat,Oman,23.646888,58.510498,Box Office: Sun-Thu 10:00-19:00,
gulf-maritime-museum-2,gulf-maritime-museum-2,Gulf Maritime Museum 2,Museums,Curated exhibits highlighting regional history.,Exhibits;Gallery;Education,,,Wadi Kabir,18th November St,Muscat,Oman,23.561391,58.381958,Box Office: Sun-Thu 10:00-19:00,
gulf-maritime-museum-3,gulf-maritime-museum-3,Gulf Maritime Museum 3,Museums,Curated exhibits highlighting regional history.,Exhibits;Gallery;Education,,,Al Mouj,Sultan Qaboos St,Muscat,Oman,23.55791,58.366522,Daily 10:00-22:00,
gulf-maritime-museum-4,gulf-maritime-museum-4,Gulf Maritime Museum 4,Museums,Curated exhibits highlighting regional history.,Exhibits;Gallery;Education,,,Bausher,Street 1,Muscat,Oman,23.623724,58.54047,Daily 10:00-22:00,
gulf-maritime-museum-5,gulf-maritime-museum-5,Gulf Maritime Museum 5,Museums,Curated exhibits highlighting regional history.,Exhibits;Gallery;Education,,,Old Muscat,Al Maha St,Muscat,Oman,23.55349,58.554319,Box Office: Sun-Thu 10:00-19:00,
wadi-green-park-1,wadi-green-park-1,Wadi Green Park 1,Parks,Family park with shaded walkways and playgrounds.,Family Friendly;Playground;Picnic,,,Madinat Qaboos,Al Bahri Rd,Muscat,Oman,23.545134,58.368217,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
wadi-green-park-2,wadi-green-park-2,Wadi Green Park 2,Parks,Family park with shaded walkways and playgrounds.,Family Friendly;Playground;Picnic,,,Wattayah,Qurum Park Rd,Muscat,Oman,23.661806,58.423466,Visitor Hours: Sat-Thu 08:00-11:00,
wadi-green-park-3,wadi-green-park-3,Wadi Green Park 3,Parks,Family park with shaded walkways and playgrounds.,Family Friendly;Playground;Picnic,,,Ghala,Al Sarooj St,Muscat,Oman,23.627607,58.456506,Box Office: Sun-Thu 10:00-19:00,
wadi-green-park-4,wadi-green-park-4,Wadi Green Park 4,Parks,Family park with shaded walkways and playgrounds.,Family Friendly;Playground;Picnic,,,Al Hail,Way 3935,Muscat,Oman,23.578609,58.497081,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
wadi-green-park-5,wadi-green-park-5,Wadi Green Park 5,Parks,Family park with shaded walkways and playgrounds.,Family Friendly;Playground;Picnic,,,Madinat Al Sultan Qaboos,Commercial Rd,Muscat,Oman,23.531771,58.494419,Sun-Thu 08:00-17:00,
city-walk-mall-1,city-walk-mall-1,City Walk Mall 1,Malls,Indoor mall with cinema and dining options.,Cinema;Dining;Retail,,,Madinat Qaboos,Al Mouj Blvd,Muscat,Oman,23.618982,58.625186,Box Office: Sun-Thu 10:00-19:00,
city-walk-mall-2,city-walk-mall-2,City Walk Mall 2,Malls,Indoor mall with cinema and dining options.,Cinema;Dining;Retail,,,Mutrah,Al Mouj Blvd,Muscat,Oman,23.632731,58.668952,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
city-walk-mall-3,city-walk-mall-3,City Walk Mall 3,Malls,Indoor mall with cinema and dining options.,Cinema;Dining;Retail,,,Al Hail,Dolphin St,Muscat,Oman,23.59098,58.593928,Sat-Thu 09:00-21:00; Fri 16:00-22:00,
city-walk-mall-4,city-walk-mall-4,City Walk Mall 4,Malls,Indoor mall with cinema and dining options.,Cinema;Dining;Retail,,,North Ghubrah,Al Sarooj St,Muscat,Oman,23.56905,58.504257,Daily 08:00-23:00,
city-walk-mall-5,city-walk-mall-5,City Walk Mall 5,Malls,Indoor mall with cinema and dining options.,Cinema;Dining;Retail,,,Old Muscat,Qurum Park Rd,Muscat,Oman,23.534018,58.632305,Daily 10:00-22:00,
